id,localidad,f_retiro,N_semana,mes,anio,afidos
414,Mococha,02/10/2019,40,octubre,2019,1
415,Mococha,02/10/2019,40,octubre,2019,1
416,Mococha,03/10/2019,40,octubre,2019,0
417,Mococha,03/10/2019,40,octubre,2019,0
418,Mococha,04/10/2019,40,octubre,2019,0
419,Mococha,04/10/2019,40,octubre,2019,1
420,Mococha,07/10/2019,41,octubre,2019,1
421,Mococha,08/10/2019,41,octubre,2019,1
422,Mococha,08/10/2019,41,octubre,2019,1
423,Mococha,09/10/2019,41,octubre,2019,0
424,Mococha,09/10/2019,41,octubre,2019,0
425,Mococha,10/10/2019,41,octubre,2019,1
426,Mococha,10/10/2019,41,octubre,2019,1
427,Mococha,11/10/2019,41,octubre,2019,0
428,Mococha,11/10/2019,41,octubre,2019,0
429,Mococha,14/10/2019,42,octubre,2019,0
430,Mococha,15/10/2019,42,octubre,2019,2
431,Mococha,15/10/2019,42,octubre,2019,0
432,Mococha,16/10/2019,42,octubre,2019,0
433,Mococha,16/10/2019,42,octubre,2019,0
434,Mococha,17/10/2019,42,octubre,2019,0
435,Mococha,17/10/2019,42,octubre,2019,0
436,Mococha,18/10/2019,42,octubre,2019,1
437,Mococha,18/10/2019,42,octubre,2019,0
438,Mococha,18/10/2019,42,octubre,2019,0
439,Mococha,21/10/2019,43,octubre,2019,0
440,Mococha,22/10/2019,43,octubre,2019,0
441,Mococha,22/10/2019,43,octubre,2019,0
442,Mococha,23/10/2019,43,octubre,2019,0
443,Mococha,23/10/2019,43,octubre,2019,0
444,Mococha,24/10/2019,43,octubre,2019,0
445,Mococha,24/10/2019,43,octubre,2019,0
447,Mococha,25/10/2019,43,octubre,2019,0
448,Mococha,26/10/2019,43,octubre,2019,0
449,Mococha,26/10/2019,43,octubre,2019,0
450,Mococha,27/10/2019,44,octubre,2019,0
451,Mococha,27/10/2019,44,octubre,2019,0
452,Mococha,28/10/2019,44,octubre,2019,0
453,Mococha,29/10/2019,44,octubre,2019,0
454,Mococha,29/10/2019,44,octubre,2019,1
455,Mococha,30/10/2019,44,octubre,2019,0
