"","fecha","tipo","total","Fecha"
"01-2013","01-2013","Robo total de vehículo",49935,ene. 2013
"02-2013","02-2013","Robo total de vehículo",54674,feb. 2013
"03-2013","03-2013","Robo total de vehículo",48588,mar. 2013
"04-2013","04-2013","Robo total de vehículo",36967,abr. 2013
"05-2013","05-2013","Robo total de vehículo",44461,may. 2013
"06-2013","06-2013","Robo total de vehículo",48206,jun. 2013
"07-2013","07-2013","Robo total de vehículo",42698,jul. 2013
"08-2013","08-2013","Robo total de vehículo",51352,ago. 2013
"09-2013","09-2013","Robo total de vehículo",38558,sep. 2013
"10-2013","10-2013","Robo total de vehículo",36264,oct. 2013
"11-2013","11-2013","Robo total de vehículo",54536,nov. 2013
"12-2013","12-2013","Robo total de vehículo",50535,dic. 2013
"01-20131","01-2013","Robo parcial de vehículo",172393,ene. 2013
"02-20131","02-2013","Robo parcial de vehículo",274710,feb. 2013
"03-20131","03-2013","Robo parcial de vehículo",273955,mar. 2013
"04-20131","04-2013","Robo parcial de vehículo",172226,abr. 2013
"05-20131","05-2013","Robo parcial de vehículo",236445,may. 2013
"06-20131","06-2013","Robo parcial de vehículo",282394,jun. 2013
"07-20131","07-2013","Robo parcial de vehículo",233817,jul. 2013
"08-20131","08-2013","Robo parcial de vehículo",237898,ago. 2013
"09-20131","09-2013","Robo parcial de vehículo",202080,sep. 2013
"10-20131","10-2013","Robo parcial de vehículo",229953,oct. 2013
"11-20131","11-2013","Robo parcial de vehículo",315936,nov. 2013
"12-20131","12-2013","Robo parcial de vehículo",309315,dic. 2013
"01-20132","01-2013","Vandalismo",268068,ene. 2013
"02-20132","02-2013","Vandalismo",322317,feb. 2013
"03-20132","03-2013","Vandalismo",301186,mar. 2013
"04-20132","04-2013","Vandalismo",198058,abr. 2013
"05-20132","05-2013","Vandalismo",256785,may. 2013
"06-20132","06-2013","Vandalismo",285316,jun. 2013
"07-20132","07-2013","Vandalismo",239674,jul. 2013
"08-20132","08-2013","Vandalismo",228906,ago. 2013
"09-20132","09-2013","Vandalismo",228473,sep. 2013
"10-20132","10-2013","Vandalismo",203936,oct. 2013
"11-20132","11-2013","Vandalismo",297943,nov. 2013
"12-20132","12-2013","Vandalismo",395444,dic. 2013
"01-20133","01-2013","Robo en casa",117452,ene. 2013
"02-20133","02-2013","Robo en casa",153512,feb. 2013
"03-20133","03-2013","Robo en casa",152684,mar. 2013
"04-20133","04-2013","Robo en casa",113187,abr. 2013
"05-20133","05-2013","Robo en casa",131110,may. 2013
"06-20133","06-2013","Robo en casa",167140,jun. 2013
"07-20133","07-2013","Robo en casa",144807,jul. 2013
"08-20133","08-2013","Robo en casa",163717,ago. 2013
"09-20133","09-2013","Robo en casa",133708,sep. 2013
"10-20133","10-2013","Robo en casa",151155,oct. 2013
"11-20133","11-2013","Robo en casa",213886,nov. 2013
"12-20133","12-2013","Robo en casa",234805,dic. 2013
"01-20134","01-2013","Robo en la calle",298663,ene. 2013
"02-20134","02-2013","Robo en la calle",363710,feb. 2013
"03-20134","03-2013","Robo en la calle",434984,mar. 2013
"04-20134","04-2013","Robo en la calle",308665,abr. 2013
"05-20134","05-2013","Robo en la calle",431485,may. 2013
"06-20134","06-2013","Robo en la calle",387194,jun. 2013
"07-20134","07-2013","Robo en la calle",353696,jul. 2013
"08-20134","08-2013","Robo en la calle",462392,ago. 2013
"09-20134","09-2013","Robo en la calle",416842,sep. 2013
"10-20134","10-2013","Robo en la calle",418987,oct. 2013
"11-20134","11-2013","Robo en la calle",598308,nov. 2013
"12-20134","12-2013","Robo en la calle",783109,dic. 2013
"01-20135","01-2013","Otro tipo de robo",16255,ene. 2013
"02-20135","02-2013","Otro tipo de robo",24570,feb. 2013
"03-20135","03-2013","Otro tipo de robo",25572,mar. 2013
"04-20135","04-2013","Otro tipo de robo",22217,abr. 2013
"05-20135","05-2013","Otro tipo de robo",25228,may. 2013
"06-20135","06-2013","Otro tipo de robo",26468,jun. 2013
"07-20135","07-2013","Otro tipo de robo",25474,jul. 2013
"08-20135","08-2013","Otro tipo de robo",25799,ago. 2013
"09-20135","09-2013","Otro tipo de robo",27222,sep. 2013
"10-20135","10-2013","Otro tipo de robo",15719,oct. 2013
"11-20135","11-2013","Otro tipo de robo",39591,nov. 2013
"12-20135","12-2013","Otro tipo de robo",41832,dic. 2013
"01-20136","01-2013","Fraude bancario",87948,ene. 2013
"02-20136","02-2013","Fraude bancario",95868,feb. 2013
"03-20136","03-2013","Fraude bancario",103205,mar. 2013
"04-20136","04-2013","Fraude bancario",47036,abr. 2013
"05-20136","05-2013","Fraude bancario",93517,may. 2013
"06-20136","06-2013","Fraude bancario",81914,jun. 2013
"07-20136","07-2013","Fraude bancario",79395,jul. 2013
"08-20136","08-2013","Fraude bancario",81925,ago. 2013
"09-20136","09-2013","Fraude bancario",72814,sep. 2013
"10-20136","10-2013","Fraude bancario",71222,oct. 2013
"11-20136","11-2013","Fraude bancario",101161,nov. 2013
"12-20136","12-2013","Fraude bancario",111200,dic. 2013
"01-20137","01-2013","Fraude al consumidor",98933,ene. 2013
"02-20137","02-2013","Fraude al consumidor",102347,feb. 2013
"03-20137","03-2013","Fraude al consumidor",108338,mar. 2013
"04-20137","04-2013","Fraude al consumidor",48428,abr. 2013
"05-20137","05-2013","Fraude al consumidor",79593,may. 2013
"06-20137","06-2013","Fraude al consumidor",87019,jun. 2013
"07-20137","07-2013","Fraude al consumidor",65867,jul. 2013
"08-20137","08-2013","Fraude al consumidor",85967,ago. 2013
"09-20137","09-2013","Fraude al consumidor",64140,sep. 2013
"10-20137","10-2013","Fraude al consumidor",91597,oct. 2013
"11-20137","11-2013","Fraude al consumidor",98528,nov. 2013
"12-20137","12-2013","Fraude al consumidor",120194,dic. 2013
"01-20138","01-2013","Extorsión",270032,ene. 2013
"02-20138","02-2013","Extorsión",401375,feb. 2013
"03-20138","03-2013","Extorsión",387845,mar. 2013
"04-20138","04-2013","Extorsión",297030,abr. 2013
"05-20138","05-2013","Extorsión",388446,may. 2013
"06-20138","06-2013","Extorsión",429252,jun. 2013
"07-20138","07-2013","Extorsión",358617,jul. 2013
"08-20138","08-2013","Extorsión",364481,ago. 2013
"09-20138","09-2013","Extorsión",292198,sep. 2013
"10-20138","10-2013","Extorsión",338377,oct. 2013
"11-20138","11-2013","Extorsión",482429,nov. 2013
"12-20138","12-2013","Extorsión",482772,dic. 2013
"01-20139","01-2013","Amenazas verbales",117779,ene. 2013
"02-20139","02-2013","Amenazas verbales",208256,feb. 2013
"03-20139","03-2013","Amenazas verbales",164283,mar. 2013
"04-20139","04-2013","Amenazas verbales",132794,abr. 2013
"05-20139","05-2013","Amenazas verbales",141287,may. 2013
"06-20139","06-2013","Amenazas verbales",168031,jun. 2013
"07-20139","07-2013","Amenazas verbales",140117,jul. 2013
"08-20139","08-2013","Amenazas verbales",179679,ago. 2013
"09-20139","09-2013","Amenazas verbales",152373,sep. 2013
"10-20139","10-2013","Amenazas verbales",185073,oct. 2013
"11-20139","11-2013","Amenazas verbales",207378,nov. 2013
"12-20139","12-2013","Amenazas verbales",295655,dic. 2013
"01-201310","01-2013","Lesiones físicas",42347,ene. 2013
"02-201310","02-2013","Lesiones físicas",75841,feb. 2013
"03-201310","03-2013","Lesiones físicas",72190,mar. 2013
"04-201310","04-2013","Lesiones físicas",41236,abr. 2013
"05-201310","05-2013","Lesiones físicas",57427,may. 2013
"06-201310","06-2013","Lesiones físicas",54493,jun. 2013
"07-201310","07-2013","Lesiones físicas",60317,jul. 2013
"08-201310","08-2013","Lesiones físicas",68893,ago. 2013
"09-201310","09-2013","Lesiones físicas",70282,sep. 2013
"10-201310","10-2013","Lesiones físicas",63614,oct. 2013
"11-201310","11-2013","Lesiones físicas",76312,nov. 2013
"12-201310","12-2013","Lesiones físicas",113727,dic. 2013
"01-201311","01-2013","Secuestro",4664,ene. 2013
"02-201311","02-2013","Secuestro",6664,feb. 2013
"03-201311","03-2013","Secuestro",4259,mar. 2013
"04-201311","04-2013","Secuestro",4262,abr. 2013
"05-201311","05-2013","Secuestro",2699,may. 2013
"06-201311","06-2013","Secuestro",9522,jun. 2013
"07-201311","07-2013","Secuestro",5108,jul. 2013
"08-201311","08-2013","Secuestro",8340,ago. 2013
"09-201311","09-2013","Secuestro",3574,sep. 2013
"10-201311","10-2013","Secuestro",4770,oct. 2013
"11-201311","11-2013","Secuestro",7291,nov. 2013
"12-201311","12-2013","Secuestro",3768,dic. 2013
"01-201312","01-2013","Hostigamiento",21746,ene. 2013
"02-201312","02-2013","Hostigamiento",44857,feb. 2013
"03-201312","03-2013","Hostigamiento",35660,mar. 2013
"04-201312","04-2013","Hostigamiento",25911,abr. 2013
"05-201312","05-2013","Hostigamiento",32398,may. 2013
"06-201312","06-2013","Hostigamiento",45358,jun. 2013
"07-201312","07-2013","Hostigamiento",23922,jul. 2013
"08-201312","08-2013","Hostigamiento",47034,ago. 2013
"09-201312","09-2013","Hostigamiento",24547,sep. 2013
"10-201312","10-2013","Hostigamiento",18360,oct. 2013
"11-201312","11-2013","Hostigamiento",45629,nov. 2013
"12-201312","12-2013","Hostigamiento",49079,dic. 2013
"01-201313","01-2013","Violación",7007,ene. 2013
"02-201313","02-2013","Violación",2754,feb. 2013
"03-201313","03-2013","Violación",8163,mar. 2013
"04-201313","04-2013","Violación",8054,abr. 2013
"05-201313","05-2013","Violación",3553,may. 2013
"06-201313","06-2013","Violación",7860,jun. 2013
"07-201313","07-2013","Violación",2605,jul. 2013
"08-201313","08-2013","Violación",4313,ago. 2013
"09-201313","09-2013","Violación",3902,sep. 2013
"10-201313","10-2013","Violación",1316,oct. 2013
"11-201313","11-2013","Violación",2918,nov. 2013
"12-201313","12-2013","Violación",7426,dic. 2013
"01-201314","01-2013","Otros",2934,ene. 2013
"02-201314","02-2013","Otros",6475,feb. 2013
"03-201314","03-2013","Otros",1760,mar. 2013
"04-201314","04-2013","Otros",2612,abr. 2013
"05-201314","05-2013","Otros",2940,may. 2013
"06-201314","06-2013","Otros",1373,jun. 2013
"07-201314","07-2013","Otros",8018,jul. 2013
"08-201314","08-2013","Otros",3792,ago. 2013
"09-201314","09-2013","Otros",5263,sep. 2013
"10-201314","10-2013","Otros",3742,oct. 2013
"11-201314","11-2013","Otros",7237,nov. 2013
"12-201314","12-2013","Otros",4599,dic. 2013
"01-2014","01-2014","Robo total de vehículo",40258,ene. 2014
"02-2014","02-2014","Robo total de vehículo",61725,feb. 2014
"03-2014","03-2014","Robo total de vehículo",59276,mar. 2014
"04-2014","04-2014","Robo total de vehículo",26838,abr. 2014
"05-2014","05-2014","Robo total de vehículo",50696,may. 2014
"06-2014","06-2014","Robo total de vehículo",49174,jun. 2014
"07-2014","07-2014","Robo total de vehículo",30968,jul. 2014
"08-2014","08-2014","Robo total de vehículo",40748,ago. 2014
"09-2014","09-2014","Robo total de vehículo",45605,sep. 2014
"10-2014","10-2014","Robo total de vehículo",34865,oct. 2014
"11-2014","11-2014","Robo total de vehículo",48278,nov. 2014
"12-2014","12-2014","Robo total de vehículo",33101,dic. 2014
"01-20141","01-2014","Robo parcial de vehículo",197038,ene. 2014
"02-20141","02-2014","Robo parcial de vehículo",252907,feb. 2014
"03-20141","03-2014","Robo parcial de vehículo",264884,mar. 2014
"04-20141","04-2014","Robo parcial de vehículo",179614,abr. 2014
"05-20141","05-2014","Robo parcial de vehículo",239224,may. 2014
"06-20141","06-2014","Robo parcial de vehículo",279057,jun. 2014
"07-20141","07-2014","Robo parcial de vehículo",210233,jul. 2014
"08-20141","08-2014","Robo parcial de vehículo",224816,ago. 2014
"09-20141","09-2014","Robo parcial de vehículo",213737,sep. 2014
"10-20141","10-2014","Robo parcial de vehículo",223373,oct. 2014
"11-20141","11-2014","Robo parcial de vehículo",300409,nov. 2014
"12-20141","12-2014","Robo parcial de vehículo",278781,dic. 2014
"01-20142","01-2014","Vandalismo",236417,ene. 2014
"02-20142","02-2014","Vandalismo",312538,feb. 2014
"03-20142","03-2014","Vandalismo",304009,mar. 2014
"04-20142","04-2014","Vandalismo",220873,abr. 2014
"05-20142","05-2014","Vandalismo",247358,may. 2014
"06-20142","06-2014","Vandalismo",335850,jun. 2014
"07-20142","07-2014","Vandalismo",254733,jul. 2014
"08-20142","08-2014","Vandalismo",256691,ago. 2014
"09-20142","09-2014","Vandalismo",263867,sep. 2014
"10-20142","10-2014","Vandalismo",260620,oct. 2014
"11-20142","11-2014","Vandalismo",341455,nov. 2014
"12-20142","12-2014","Vandalismo",411003,dic. 2014
"01-20143","01-2014","Robo en casa",112934,ene. 2014
"02-20143","02-2014","Robo en casa",134061,feb. 2014
"03-20143","03-2014","Robo en casa",144539,mar. 2014
"04-20143","04-2014","Robo en casa",95038,abr. 2014
"05-20143","05-2014","Robo en casa",142460,may. 2014
"06-20143","06-2014","Robo en casa",170553,jun. 2014
"07-20143","07-2014","Robo en casa",159580,jul. 2014
"08-20143","08-2014","Robo en casa",139078,ago. 2014
"09-20143","09-2014","Robo en casa",124579,sep. 2014
"10-20143","10-2014","Robo en casa",145510,oct. 2014
"11-20143","11-2014","Robo en casa",194715,nov. 2014
"12-20143","12-2014","Robo en casa",244026,dic. 2014
"01-20144","01-2014","Robo en la calle",352210,ene. 2014
"02-20144","02-2014","Robo en la calle",487202,feb. 2014
"03-20144","03-2014","Robo en la calle",513926,mar. 2014
"04-20144","04-2014","Robo en la calle",393315,abr. 2014
"05-20144","05-2014","Robo en la calle",514095,may. 2014
"06-20144","06-2014","Robo en la calle",503817,jun. 2014
"07-20144","07-2014","Robo en la calle",359002,jul. 2014
"08-20144","08-2014","Robo en la calle",491190,ago. 2014
"09-20144","09-2014","Robo en la calle",502701,sep. 2014
"10-20144","10-2014","Robo en la calle",557394,oct. 2014
"11-20144","11-2014","Robo en la calle",710902,nov. 2014
"12-20144","12-2014","Robo en la calle",898090,dic. 2014
"01-20145","01-2014","Otro tipo de robo",50733,ene. 2014
"02-20145","02-2014","Otro tipo de robo",50561,feb. 2014
"03-20145","03-2014","Otro tipo de robo",68697,mar. 2014
"04-20145","04-2014","Otro tipo de robo",57108,abr. 2014
"05-20145","05-2014","Otro tipo de robo",77001,may. 2014
"06-20145","06-2014","Otro tipo de robo",75959,jun. 2014
"07-20145","07-2014","Otro tipo de robo",54784,jul. 2014
"08-20145","08-2014","Otro tipo de robo",89375,ago. 2014
"09-20145","09-2014","Otro tipo de robo",70880,sep. 2014
"10-20145","10-2014","Otro tipo de robo",118394,oct. 2014
"11-20145","11-2014","Otro tipo de robo",117002,nov. 2014
"12-20145","12-2014","Otro tipo de robo",141446,dic. 2014
"01-20146","01-2014","Fraude bancario",73251,ene. 2014
"02-20146","02-2014","Fraude bancario",90294,feb. 2014
"03-20146","03-2014","Fraude bancario",94064,mar. 2014
"04-20146","04-2014","Fraude bancario",70926,abr. 2014
"05-20146","05-2014","Fraude bancario",98423,may. 2014
"06-20146","06-2014","Fraude bancario",97723,jun. 2014
"07-20146","07-2014","Fraude bancario",80162,jul. 2014
"08-20146","08-2014","Fraude bancario",92602,ago. 2014
"09-20146","09-2014","Fraude bancario",73759,sep. 2014
"10-20146","10-2014","Fraude bancario",90534,oct. 2014
"11-20146","11-2014","Fraude bancario",96272,nov. 2014
"12-20146","12-2014","Fraude bancario",156220,dic. 2014
"01-20147","01-2014","Fraude al consumidor",88620,ene. 2014
"02-20147","02-2014","Fraude al consumidor",109700,feb. 2014
"03-20147","03-2014","Fraude al consumidor",112825,mar. 2014
"04-20147","04-2014","Fraude al consumidor",85104,abr. 2014
"05-20147","05-2014","Fraude al consumidor",95469,may. 2014
"06-20147","06-2014","Fraude al consumidor",115792,jun. 2014
"07-20147","07-2014","Fraude al consumidor",95319,jul. 2014
"08-20147","08-2014","Fraude al consumidor",95223,ago. 2014
"09-20147","09-2014","Fraude al consumidor",77775,sep. 2014
"10-20147","10-2014","Fraude al consumidor",88325,oct. 2014
"11-20147","11-2014","Fraude al consumidor",119676,nov. 2014
"12-20147","12-2014","Fraude al consumidor",148659,dic. 2014
"01-20148","01-2014","Extorsión",373183,ene. 2014
"02-20148","02-2014","Extorsión",410014,feb. 2014
"03-20148","03-2014","Extorsión",455798,mar. 2014
"04-20148","04-2014","Extorsión",315069,abr. 2014
"05-20148","05-2014","Extorsión",478728,may. 2014
"06-20148","06-2014","Extorsión",607900,jun. 2014
"07-20148","07-2014","Extorsión",362024,jul. 2014
"08-20148","08-2014","Extorsión",462412,ago. 2014
"09-20148","09-2014","Extorsión",450861,sep. 2014
"10-20148","10-2014","Extorsión",437739,oct. 2014
"11-20148","11-2014","Extorsión",572767,nov. 2014
"12-20148","12-2014","Extorsión",565825,dic. 2014
"01-20149","01-2014","Amenazas verbales",160683,ene. 2014
"02-20149","02-2014","Amenazas verbales",173100,feb. 2014
"03-20149","03-2014","Amenazas verbales",195858,mar. 2014
"04-20149","04-2014","Amenazas verbales",142195,abr. 2014
"05-20149","05-2014","Amenazas verbales",165528,may. 2014
"06-20149","06-2014","Amenazas verbales",211185,jun. 2014
"07-20149","07-2014","Amenazas verbales",146828,jul. 2014
"08-20149","08-2014","Amenazas verbales",191426,ago. 2014
"09-20149","09-2014","Amenazas verbales",157245,sep. 2014
"10-20149","10-2014","Amenazas verbales",198531,oct. 2014
"11-20149","11-2014","Amenazas verbales",262848,nov. 2014
"12-20149","12-2014","Amenazas verbales",289219,dic. 2014
"01-201410","01-2014","Lesiones físicas",55040,ene. 2014
"02-201410","02-2014","Lesiones físicas",49381,feb. 2014
"03-201410","03-2014","Lesiones físicas",74267,mar. 2014
"04-201410","04-2014","Lesiones físicas",43809,abr. 2014
"05-201410","05-2014","Lesiones físicas",51152,may. 2014
"06-201410","06-2014","Lesiones físicas",59362,jun. 2014
"07-201410","07-2014","Lesiones físicas",47207,jul. 2014
"08-201410","08-2014","Lesiones físicas",51867,ago. 2014
"09-201410","09-2014","Lesiones físicas",75567,sep. 2014
"10-201410","10-2014","Lesiones físicas",55490,oct. 2014
"11-201410","11-2014","Lesiones físicas",75044,nov. 2014
"12-201410","12-2014","Lesiones físicas",88488,dic. 2014
"01-201411","01-2014","Secuestro",7738,ene. 2014
"02-201411","02-2014","Secuestro",4843,feb. 2014
"03-201411","03-2014","Secuestro",4429,mar. 2014
"04-201411","04-2014","Secuestro",5271,abr. 2014
"05-201411","05-2014","Secuestro",1143,may. 2014
"06-201411","06-2014","Secuestro",13633,jun. 2014
"07-201411","07-2014","Secuestro",6326,jul. 2014
"08-201411","08-2014","Secuestro",9316,ago. 2014
"09-201411","09-2014","Secuestro",3032,sep. 2014
"10-201411","10-2014","Secuestro",724,oct. 2014
"11-201411","11-2014","Secuestro",5880,nov. 2014
"12-201411","12-2014","Secuestro",4179,dic. 2014
"01-201412","01-2014","Hostigamiento",30561,ene. 2014
"02-201412","02-2014","Hostigamiento",25405,feb. 2014
"03-201412","03-2014","Hostigamiento",42892,mar. 2014
"04-201412","04-2014","Hostigamiento",22333,abr. 2014
"05-201412","05-2014","Hostigamiento",42290,may. 2014
"06-201412","06-2014","Hostigamiento",46419,jun. 2014
"07-201412","07-2014","Hostigamiento",37885,jul. 2014
"08-201412","08-2014","Hostigamiento",43078,ago. 2014
"09-201412","09-2014","Hostigamiento",37732,sep. 2014
"10-201412","10-2014","Hostigamiento",51229,oct. 2014
"11-201412","11-2014","Hostigamiento",50857,nov. 2014
"12-201412","12-2014","Hostigamiento",52549,dic. 2014
"01-201413","01-2014","Violación",8993,ene. 2014
"02-201413","02-2014","Violación",4086,feb. 2014
"03-201413","03-2014","Violación",1095,mar. 2014
"04-201413","04-2014","Violación",11780,abr. 2014
"05-201413","05-2014","Violación",4359,may. 2014
"06-201413","06-2014","Violación",468,jun. 2014
"07-201413","07-2014","Violación",3807,jul. 2014
"08-201413","08-2014","Violación",4708,ago. 2014
"09-201413","09-2014","Violación",5304,sep. 2014
"10-201413","10-2014","Violación",1492,oct. 2014
"11-201413","11-2014","Violación",6922,nov. 2014
"12-201413","12-2014","Violación",10373,dic. 2014
"01-201414","01-2014","Otros",3677,ene. 2014
"02-201414","02-2014","Otros",8852,feb. 2014
"03-201414","03-2014","Otros",4867,mar. 2014
"04-201414","04-2014","Otros",5387,abr. 2014
"05-201414","05-2014","Otros",3028,may. 2014
"06-201414","06-2014","Otros",4248,jun. 2014
"07-201414","07-2014","Otros",4413,jul. 2014
"08-201414","08-2014","Otros",10440,ago. 2014
"09-201414","09-2014","Otros",10434,sep. 2014
"10-201414","10-2014","Otros",5288,oct. 2014
"11-201414","11-2014","Otros",6199,nov. 2014
"12-201414","12-2014","Otros",9316,dic. 2014
"01-2015","01-2015","Robo total de vehículo",43826,ene. 2015
"02-2015","02-2015","Robo total de vehículo",62373,feb. 2015
"03-2015","03-2015","Robo total de vehículo",51668,mar. 2015
"04-2015","04-2015","Robo total de vehículo",39715,abr. 2015
"05-2015","05-2015","Robo total de vehículo",54457,may. 2015
"06-2015","06-2015","Robo total de vehículo",54653,jun. 2015
"07-2015","07-2015","Robo total de vehículo",31459,jul. 2015
"08-2015","08-2015","Robo total de vehículo",37771,ago. 2015
"09-2015","09-2015","Robo total de vehículo",33419,sep. 2015
"10-2015","10-2015","Robo total de vehículo",36367,oct. 2015
"11-2015","11-2015","Robo total de vehículo",51947,nov. 2015
"12-2015","12-2015","Robo total de vehículo",33098,dic. 2015
"01-20151","01-2015","Robo parcial de vehículo",202986,ene. 2015
"02-20151","02-2015","Robo parcial de vehículo",316438,feb. 2015
"03-20151","03-2015","Robo parcial de vehículo",307119,mar. 2015
"04-20151","04-2015","Robo parcial de vehículo",203532,abr. 2015
"05-20151","05-2015","Robo parcial de vehículo",269862,may. 2015
"06-20151","06-2015","Robo parcial de vehículo",358574,jun. 2015
"07-20151","07-2015","Robo parcial de vehículo",221841,jul. 2015
"08-20151","08-2015","Robo parcial de vehículo",258615,ago. 2015
"09-20151","09-2015","Robo parcial de vehículo",228712,sep. 2015
"10-20151","10-2015","Robo parcial de vehículo",256428,oct. 2015
"11-20151","11-2015","Robo parcial de vehículo",327402,nov. 2015
"12-20151","12-2015","Robo parcial de vehículo",355765,dic. 2015
"01-20152","01-2015","Vandalismo",259762,ene. 2015
"02-20152","02-2015","Vandalismo",358587,feb. 2015
"03-20152","03-2015","Vandalismo",365124,mar. 2015
"04-20152","04-2015","Vandalismo",202066,abr. 2015
"05-20152","05-2015","Vandalismo",269912,may. 2015
"06-20152","06-2015","Vandalismo",392907,jun. 2015
"07-20152","07-2015","Vandalismo",271218,jul. 2015
"08-20152","08-2015","Vandalismo",298471,ago. 2015
"09-20152","09-2015","Vandalismo",250949,sep. 2015
"10-20152","10-2015","Vandalismo",251928,oct. 2015
"11-20152","11-2015","Vandalismo",369204,nov. 2015
"12-20152","12-2015","Vandalismo",412105,dic. 2015
"01-20153","01-2015","Robo en casa",135167,ene. 2015
"02-20153","02-2015","Robo en casa",157097,feb. 2015
"03-20153","03-2015","Robo en casa",187111,mar. 2015
"04-20153","04-2015","Robo en casa",121767,abr. 2015
"05-20153","05-2015","Robo en casa",156763,may. 2015
"06-20153","06-2015","Robo en casa",175914,jun. 2015
"07-20153","07-2015","Robo en casa",144029,jul. 2015
"08-20153","08-2015","Robo en casa",161432,ago. 2015
"09-20153","09-2015","Robo en casa",141827,sep. 2015
"10-20153","10-2015","Robo en casa",141722,oct. 2015
"11-20153","11-2015","Robo en casa",224182,nov. 2015
"12-20153","12-2015","Robo en casa",252396,dic. 2015
"01-20154","01-2015","Robo en la calle",580317,ene. 2015
"02-20154","02-2015","Robo en la calle",713662,feb. 2015
"03-20154","03-2015","Robo en la calle",891484,mar. 2015
"04-20154","04-2015","Robo en la calle",591818,abr. 2015
"05-20154","05-2015","Robo en la calle",825872,may. 2015
"06-20154","06-2015","Robo en la calle",746131,jun. 2015
"07-20154","07-2015","Robo en la calle",620905,jul. 2015
"08-20154","08-2015","Robo en la calle",800362,ago. 2015
"09-20154","09-2015","Robo en la calle",751502,sep. 2015
"10-20154","10-2015","Robo en la calle",592541,oct. 2015
"11-20154","11-2015","Robo en la calle",895869,nov. 2015
"12-20154","12-2015","Robo en la calle",1502278,dic. 2015
"01-20155","01-2015","Otro tipo de robo",99437,ene. 2015
"02-20155","02-2015","Otro tipo de robo",81305,feb. 2015
"03-20155","03-2015","Otro tipo de robo",92210,mar. 2015
"04-20155","04-2015","Otro tipo de robo",74302,abr. 2015
"05-20155","05-2015","Otro tipo de robo",95258,may. 2015
"06-20155","06-2015","Otro tipo de robo",95584,jun. 2015
"07-20155","07-2015","Otro tipo de robo",68154,jul. 2015
"08-20155","08-2015","Otro tipo de robo",89655,ago. 2015
"09-20155","09-2015","Otro tipo de robo",81761,sep. 2015
"10-20155","10-2015","Otro tipo de robo",98908,oct. 2015
"11-20155","11-2015","Otro tipo de robo",136191,nov. 2015
"12-20155","12-2015","Otro tipo de robo",124062,dic. 2015
"01-20156","01-2015","Fraude bancario",115873,ene. 2015
"02-20156","02-2015","Fraude bancario",133024,feb. 2015
"03-20156","03-2015","Fraude bancario",159614,mar. 2015
"04-20156","04-2015","Fraude bancario",127985,abr. 2015
"05-20156","05-2015","Fraude bancario",155630,may. 2015
"06-20156","06-2015","Fraude bancario",150422,jun. 2015
"07-20156","07-2015","Fraude bancario",114772,jul. 2015
"08-20156","08-2015","Fraude bancario",112134,ago. 2015
"09-20156","09-2015","Fraude bancario",127734,sep. 2015
"10-20156","10-2015","Fraude bancario",126023,oct. 2015
"11-20156","11-2015","Fraude bancario",181125,nov. 2015
"12-20156","12-2015","Fraude bancario",208400,dic. 2015
"01-20157","01-2015","Fraude al consumidor",116059,ene. 2015
"02-20157","02-2015","Fraude al consumidor",158432,feb. 2015
"03-20157","03-2015","Fraude al consumidor",137638,mar. 2015
"04-20157","04-2015","Fraude al consumidor",110486,abr. 2015
"05-20157","05-2015","Fraude al consumidor",142832,may. 2015
"06-20157","06-2015","Fraude al consumidor",118962,jun. 2015
"07-20157","07-2015","Fraude al consumidor",128751,jul. 2015
