"","fecha","tipo","total","Fecha"
"04-201614","04-2016","Otros",3450,abr. 2016
"05-201614","05-2016","Otros",2217,may. 2016
"06-201614","06-2016","Otros",2911,jun. 2016
"07-201614","07-2016","Otros",3631,jul. 2016
"08-201614","08-2016","Otros",4203,ago. 2016
"09-201614","09-2016","Otros",11182,sep. 2016
"10-201614","10-2016","Otros",14918,oct. 2016
"11-201614","11-2016","Otros",12359,nov. 2016
"12-201614","12-2016","Otros",5212,dic. 2016
"01-2017","01-2017","Robo total de vehículo",34105,ene. 2017
"02-2017","02-2017","Robo total de vehículo",42837,feb. 2017
"03-2017","03-2017","Robo total de vehículo",58827,mar. 2017
"04-2017","04-2017","Robo total de vehículo",29813,abr. 2017
"05-2017","05-2017","Robo total de vehículo",34061,may. 2017
"06-2017","06-2017","Robo total de vehículo",42094,jun. 2017
"07-2017","07-2017","Robo total de vehículo",32012,jul. 2017
"08-2017","08-2017","Robo total de vehículo",30283,ago. 2017
"09-2017","09-2017","Robo total de vehículo",42157,sep. 2017
"10-2017","10-2017","Robo total de vehículo",42229,oct. 2017
"11-2017","11-2017","Robo total de vehículo",52268,nov. 2017
"12-2017","12-2017","Robo total de vehículo",41180,dic. 2017
"01-20171","01-2017","Robo parcial de vehículo",169352,ene. 2017
"02-20171","02-2017","Robo parcial de vehículo",248967,feb. 2017
"03-20171","03-2017","Robo parcial de vehículo",239057,mar. 2017
"04-20171","04-2017","Robo parcial de vehículo",161203,abr. 2017
"05-20171","05-2017","Robo parcial de vehículo",250088,may. 2017
"06-20171","06-2017","Robo parcial de vehículo",300303,jun. 2017
"07-20171","07-2017","Robo parcial de vehículo",210117,jul. 2017
"08-20171","08-2017","Robo parcial de vehículo",220836,ago. 2017
"09-20171","09-2017","Robo parcial de vehículo",241378,sep. 2017
"10-20171","10-2017","Robo parcial de vehículo",244235,oct. 2017
"11-20171","11-2017","Robo parcial de vehículo",340317,nov. 2017
"12-20171","12-2017","Robo parcial de vehículo",286327,dic. 2017
"01-20172","01-2017","Vandalismo",186698,ene. 2017
"02-20172","02-2017","Vandalismo",231623,feb. 2017
"03-20172","03-2017","Vandalismo",230498,mar. 2017
"04-20172","04-2017","Vandalismo",131613,abr. 2017
"05-20172","05-2017","Vandalismo",206015,may. 2017
"06-20172","06-2017","Vandalismo",268915,jun. 2017
"07-20172","07-2017","Vandalismo",190944,jul. 2017
"08-20172","08-2017","Vandalismo",194678,ago. 2017
"09-20172","09-2017","Vandalismo",196056,sep. 2017
"10-20172","10-2017","Vandalismo",194174,oct. 2017
"11-20172","11-2017","Vandalismo",254338,nov. 2017
"12-20172","12-2017","Vandalismo",290709,dic. 2017
"01-20173","01-2017","Robo en casa",111282,ene. 2017
"02-20173","02-2017","Robo en casa",150397,feb. 2017
"03-20173","03-2017","Robo en casa",156839,mar. 2017
"04-20173","04-2017","Robo en casa",123347,abr. 2017
"05-20173","05-2017","Robo en casa",148050,may. 2017
"06-20173","06-2017","Robo en casa",187991,jun. 2017
"07-20173","07-2017","Robo en casa",153862,jul. 2017
"08-20173","08-2017","Robo en casa",143565,ago. 2017
"09-20173","09-2017","Robo en casa",146769,sep. 2017
"10-20173","10-2017","Robo en casa",171565,oct. 2017
"11-20173","11-2017","Robo en casa",226506,nov. 2017
"12-20173","12-2017","Robo en casa",255475,dic. 2017
"01-20174","01-2017","Robo en la calle",505832,ene. 2017
"02-20174","02-2017","Robo en la calle",589732,feb. 2017
"03-20174","03-2017","Robo en la calle",615043,mar. 2017
"04-20174","04-2017","Robo en la calle",489525,abr. 2017
"05-20174","05-2017","Robo en la calle",660194,may. 2017
"06-20174","06-2017","Robo en la calle",589647,jun. 2017
"07-20174","07-2017","Robo en la calle",431027,jul. 2017
"08-20174","08-2017","Robo en la calle",462034,ago. 2017
"09-20174","09-2017","Robo en la calle",594232,sep. 2017
"10-20174","10-2017","Robo en la calle",638891,oct. 2017
"11-20174","11-2017","Robo en la calle",1023370,nov. 2017
"12-20174","12-2017","Robo en la calle",1290716,dic. 2017
"01-20175","01-2017","Otro tipo de robo",81749,ene. 2017
"02-20175","02-2017","Otro tipo de robo",113008,feb. 2017
"03-20175","03-2017","Otro tipo de robo",111178,mar. 2017
"04-20175","04-2017","Otro tipo de robo",80410,abr. 2017
"05-20175","05-2017","Otro tipo de robo",101449,may. 2017
"06-20175","06-2017","Otro tipo de robo",147459,jun. 2017
"07-20175","07-2017","Otro tipo de robo",86730,jul. 2017
"08-20175","08-2017","Otro tipo de robo",112146,ago. 2017
"09-20175","09-2017","Otro tipo de robo",140035,sep. 2017
"10-20175","10-2017","Otro tipo de robo",128676,oct. 2017
"11-20175","11-2017","Otro tipo de robo",221404,nov. 2017
"12-20175","12-2017","Otro tipo de robo",194649,dic. 2017
