"","total","FECHA"
"2021-10-08",4252,2021-10-08
"2021-10-09",4091,2021-10-09
"2021-10-10",4712,2021-10-10
"2021-10-11",4484,2021-10-11
"2021-10-12",3717,2021-10-12
"2021-10-13",3285,2021-10-13
"2021-10-14",3125,2021-10-14
"2021-10-15",3877,2021-10-15
"2021-10-16",3181,2021-10-16
"2021-10-17",3143,2021-10-17
"2021-10-18",3973,2021-10-18
"2021-10-19",3312,2021-10-19
"2021-10-20",3627,2021-10-20
"2021-10-21",2798,2021-10-21
"2021-10-22",3141,2021-10-22
"2021-10-23",2838,2021-10-23
"2021-10-24",2626,2021-10-24
"2021-10-25",3616,2021-10-25
"2021-10-26",2770,2021-10-26
"2021-10-27",2402,2021-10-27
"2021-10-28",2280,2021-10-28
"2021-10-29",2533,2021-10-29
"2021-10-30",2246,2021-10-30
"2021-10-31",2278,2021-10-31
"2021-11-01",3455,2021-11-01
"2021-11-02",2477,2021-11-02
"2021-11-03",2587,2021-11-03
"2021-11-04",2302,2021-11-04
"2021-11-05",2557,2021-11-05
"2021-11-06",2511,2021-11-06
"2021-11-07",2394,2021-11-07
"2021-11-08",2834,2021-11-08
"2021-11-09",2408,2021-11-09
"2021-11-10",2553,2021-11-10
"2021-11-11",2086,2021-11-11
"2021-11-12",2112,2021-11-12
"2021-11-13",2081,2021-11-13
"2021-11-14",2211,2021-11-14
"2021-11-15",2815,2021-11-15
"2021-11-16",2338,2021-11-16
"2021-11-17",2773,2021-11-17
"2021-11-18",2434,2021-11-18
"2021-11-19",2636,2021-11-19
"2021-11-20",2992,2021-11-20
"2021-11-21",2189,2021-11-21
"2021-11-22",2652,2021-11-22
"2021-11-23",2278,2021-11-23
"2021-11-24",2156,2021-11-24
"2021-11-25",2433,2021-11-25
"2021-11-26",2138,2021-11-26
"2021-11-27",2140,2021-11-27
"2021-11-28",2566,2021-11-28
"2021-11-29",2465,2021-11-29
"2021-11-30",2370,2021-11-30
"2021-12-01",2477,2021-12-01
"2021-12-02",2124,2021-12-02
"2021-12-03",2143,2021-12-03
"2021-12-04",2120,2021-12-04
"2021-12-05",2177,2021-12-05
"2021-12-06",2468,2021-12-06
"2021-12-07",2036,2021-12-07
"2021-12-08",1826,2021-12-08
"2021-12-09",1650,2021-12-09
"2021-12-10",2309,2021-12-10
"2021-12-11",1617,2021-12-11
"2021-12-12",1933,2021-12-12
"2021-12-13",2143,2021-12-13
"2021-12-14",1883,2021-12-14
"2021-12-15",1814,2021-12-15
"2021-12-16",1570,2021-12-16
"2021-12-17",1742,2021-12-17
"2021-12-18",1879,2021-12-18
"2021-12-19",1980,2021-12-19
"2021-12-20",2566,2021-12-20
"2021-12-21",1802,2021-12-21
"2021-12-22",1394,2021-12-22
"2021-12-23",924,2021-12-23
"2021-12-24",422,2021-12-24
"2021-12-25",129,2021-12-25
"2021-12-26",85,2021-12-26
"2021-12-27",2,2021-12-27
